,Somamer,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism_x,Units,Type,Dilution,Symbol,Symbol_unique,EstimatedCV,EstimatedCV_low,PlasmaScaleFactor_v4_to_v4.1,PlasmaLinsCCC,PlasmaLinsCCC_low
2149,ALDH5A1.17792.158,17792-158,3,SL020924,"Succinate-semialdehyde dehydrogenase, mitochondrial",SSDH,P51649,7915,ALDH5A1,Human,RFU,Protein,0.5,ALDH5A1,ALDH5A1,4.5,1,1.102,0.877,0
2150,DIRAS1.17793.4,17793-4,3,SL020986,GTP-binding protein Di-Ras1,DIRA1,O95057,148252,DIRAS1,Human,RFU,Protein,20,DIRAS1,DIRAS1,3,1,0.902,0.929,0
2151,PMM2.17794.6,17794-6,3,SL005762,Phosphomannomutase 2,Phosphomannomutase 2,O15305,5373,PMM2,Human,RFU,Protein,20,PMM2,PMM2,7.5,1,0.793,0.931,0
2152,LSM1.17795.176,17795-176,3,SL013520,U6 snRNA-associated Sm-like protein LSm1,LSM1,O15116,27257,LSM1,Human,RFU,Protein,20,LSM1,LSM1,3.5,1,0.838,0.955,0
2153,IMPA1.17796.15,17796-15,3,SL009428,Inositol monophosphatase 1,IMPA1,P29218,3612,IMPA1,Human,RFU,Protein,20,IMPA1,IMPA1,5.5,1,0.869,0.895,0
2154,CUL1.17797.1,17797-1,3,SL010967,Cullin-1,CUL1,Q13616,8454,CUL1,Human,RFU,Protein,20,CUL1,CUL1,3,1,0.991,0.851,0
2155,PGLS.17799.9,17799-9,3,SL005373,6-phosphogluconolactonase,6PGL,O95336,25796,PGLS,Human,RFU,Protein,0.5,PGLS,PGLS,3.5,1,0.859,0.912,0
2156,SCAND1.17800.33,17800-33,3,SL006198,SCAN domain-containing protein 1,SCAND1,P57086,51282,SCAND1,Human,RFU,Protein,20,SCAND1,SCAND1,2.5,1,0.851,0.877,0
2157,NANS.17802.4,17802-4,3,SL020967,Sialic acid synthase,SIAS,Q9NR45,54187,NANS,Human,RFU,Protein,20,NANS,NANS,8.5,1,0.816,0.844,0
2158,PNPO.17804.102,17804-102,3,SL008550,Pyridoxine-5'-phosphate oxidase,PNPO,Q9NVS9,55163,PNPO,Human,RFU,Protein,0.5,PNPO,PNPO,4,1,0.97,0.616,0
2159,SMNDC1.17805.35,17805-35,3,SL020971,Survival of motor neuron-related-splicing factor 30,SPF30,O75940,10285,SMNDC1,Human,RFU,Protein,20,SMNDC1,SMNDC1,6,1,0.956,0.465,0
2160,SDCBP.17806.6,17806-6,3,SL005369,Syntenin-1,Syntenin 1,O00560,6386,SDCBP,Human,RFU,Protein,20,SDCBP,SDCBP,7,1,0.778,0.813,0
2161,NIT2.17808.37,17808-37,3,SL012948,Omega-amidase NIT2,NIT2,Q9NQR4,56954,NIT2,Human,RFU,Protein,20,NIT2,NIT2,7,1,0.661,0.913,0
2162,SULT1C2.17811.78,17811-78,3,SL014570,Sulfotransferase 1C2,ST1C2,O00338,6819,SULT1C2,Human,RFU,Protein,20,SULT1C2,SULT1C2,6.5,1,0.919,0.725,0
2163,PTP4A1.17812.2,17812-2,3,SL015125,Protein tyrosine phosphatase type IVA 1,TP4A1,Q93096,7803,PTP4A1,Human,RFU,Protein,20,PTP4A1,PTP4A1,2.5,1,0.737,0.972,0
2164,BPHL.17813.21,17813-21,3,SL015053,Valacyclovir hydrolase,BPHL,Q86WA6,670,BPHL,Human,RFU,Protein,20,BPHL,BPHL,3,1,0.892,0.852,0
2165,BPNT1.17814.8,17814-8,3,SL009020,"3'(2'),5'-bisphosphate nucleotidase 1",BPNT1,O95861,10380,BPNT1,Human,RFU,Protein,20,BPNT1,BPNT1,4.5,1,0.585,0.92,0
2166,NCALD.17816.58,17816-58,3,SL020927,Neurocalcin-delta,NCALD,P61601,83988,NCALD,Human,RFU,Protein,20,NCALD,NCALD,3.5,1,0.709,0.95,0
2167,DDIT4.17817.22,17817-22,3,SL021006,DNA damage-inducible transcript 4 protein,DDIT4,Q9NX09,54541,DDIT4,Human,RFU,Protein,20,DDIT4,DDIT4,6,1,0.801,0.728,0
2168,SUGT1.17818.22,17818-22,3,SL021096,Protein SGT1 homolog,SUGT1,Q9Y2Z0,10910,SUGT1,Human,RFU,Protein,20,SUGT1,SUGT1,8,1,0.759,0.912,0
2169,FAHD1.17819.30,17819-30,3,SL020941,"Acylpyruvase FAHD1, mitochondrial",FAHD1,Q6P587,81889,FAHD1,Human,RFU,Protein,20,FAHD1,FAHD1,6.5,1,0.641,0.905,0
2170,MLF1.17820.170,17820-170,3,SL020995,Myeloid leukemia factor 1,MLF1,P58340,4291,MLF1,Human,RFU,Protein,0.5,MLF1,MLF1,5.5,1,1.174,0.298,1
2171,NMT2.17821.20,17821-20,3,SL020911,Glycylpeptide N-tetradecanoyltransferase 2,NMT2,O60551,9397,NMT2,Human,RFU,Protein,20,NMT2,NMT2,4,1,0.611,0.884,0
2172,RERG.17822.57,17822-57,3,SL021020,Ras-related and estrogen-regulated growth inhibitor,RERG,Q96A58,85004,RERG,Human,RFU,Protein,20,RERG,RERG,6,1,0.855,0.784,0
2173,SNRPD2.17823.40,17823-40,3,SL013062,Small nuclear ribonucleoprotein Sm D2,SMD2,P62316,6633,SNRPD2,Human,RFU,Protein,20,SNRPD2,SNRPD2,5,1,0.765,0.812,0
2174,EEF1D.17826.341,17826-341,3,SL011186,Elongation factor 1-delta,EF1D,P29692,1936,EEF1D,Human,RFU,Protein,20,EEF1D,EEF1D,8.5,1,0.712,0.879,0
2175,DYNLRB2.17827.53,17827-53,3,SL009441,Dynein light chain roadblock-type 2,DLRB2,Q8TF09,83657,DYNLRB2,Human,RFU,Protein,20,DYNLRB2,DYNLRB2,4,1,0.861,0.967,0
2176,S100A14.17828.3,17828-3,3,SL005106,Protein S100-A14,S100A14,Q9HCY8,57402,S100A14,Human,RFU,Protein,20,S100A14,S100A14.1,3.5,1,0.957,0.868,0
2177,TREX2.17829.2,17829-2,3,SL015174,Three prime repair exonuclease 2,TREX2,Q9BQ50,11219,TREX2,Human,RFU,Protein,20,TREX2,TREX2,3,1,0.808,0.931,0
2178,IDI2.17832.12,17832-12,3,SL021002,Isopentenyl-diphosphate delta-isomerase 2,IDI2,Q9BXS1,91734,IDI2,Human,RFU,Protein,20,IDI2,IDI2,3,1,0.704,0.948,0
2179,ANXA13.17835.28,17835-28,3,SL020982,Annexin A13,ANX13,P27216,312,ANXA13,Human,RFU,Protein,20,ANXA13,ANXA13,3,1,0.996,0.922,0
2180,S100A16.17836.17,17836-17,3,SL005108,Protein S100-A16,S100A16,Q96FQ6,140576,S100A16,Human,RFU,Protein,20,S100A16,S100A16,2,1,0.734,0.84,0
2181,CLIC2.17837.5,17837-5,3,SL020908,Chloride intracellular channel protein 2,CLIC2,O15247,1193,CLIC2,Human,RFU,Protein,20,CLIC2,CLIC2.1,6.5,1,0.572,0.808,0
2182,PPCS.17843.30,17843-30,3,SL016522,Phosphopantothenate--cysteine ligase,PPCS,Q9HAB8,79717,PPCS,Human,RFU,Protein,20,PPCS,PPCS,9,1,0.777,0.915,0
2183,DRG1.17849.6,17849-6,3,SL021009,Developmentally-regulated GTP-binding protein 1,DRG1,Q9Y295,4733,DRG1,Human,RFU,Protein,20,DRG1,DRG1,5,1,1.183,0.91,0
2184,KLF4.17850.42,17850-42,3,SL013717,Krueppel-like factor 4,KLF4,O43474,9314,KLF4,Human,RFU,Protein,20,KLF4,KLF4,2.5,1,0.795,0.931,0
2185,PPME1.17852.5,17852-5,3,SL011319,Protein phosphatase methylesterase 1,PPME1,Q9Y570,51400,PPME1,Human,RFU,Protein,20,PPME1,PPME1,5.5,1,0.806,0.894,0
2186,NAA10.17854.33,17854-33,3,SL020920,N-alpha-acetyltransferase 10,NAA10,P41227,8260,NAA10,Human,RFU,Protein,20,NAA10,NAA10,2.5,1,1.078,0.907,0
2187,RGS4.17855.28,17855-28,3,SL005549,Regulator of G-protein signaling 4,RGS4,P49798,5999,RGS4,Human,RFU,Protein,20,RGS4,RGS4.1,2.5,1,0.94,0.867,0
2188,NT5M.17856.23,17856-23,3,SL020966,"5'(3')-deoxyribonucleotidase, mitochondrial",NT5M,Q9NPB1,56953,NT5M,Human,RFU,Protein,20,NT5M,NT5M,5.5,1,0.789,0.895,0
2189,ACADL.17857.6,17857-6,3,SL020990,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADL,P28330,33,ACADL,Human,RFU,Protein,20,ACADL,ACADL,2.5,1,0.91,0.906,0
2190,ATG3.18156.7,18156-7,3,SL019804,Ubiquitin-like-conjugating enzyme ATG3,ATG3,Q9NT62,64422,ATG3,Human,RFU,Protein,20,ATG3,ATG3,3.5,1,1.02,0.909,0
2191,CASP8.18158.45,18158-45,3,SL003715,Caspase-8,Caspase-8,Q14790,841,CASP8,Human,RFU,Protein,20,CASP8,CASP8,7.5,1,1.028,0.869,0
2192,PCMT1.18160.2,18160-2,3,SL011012,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PIMT,P22061,5110,PCMT1,Human,RFU,Protein,20,PCMT1,PCMT1,3.5,1,1.206,0.85,0
2193,IRAK4.18162.167,18162-167,3,SL004504,Interleukin-1 receptor-associated kinase 4,IRAK4,Q9NWZ3,51135,IRAK4,Human,RFU,Protein,20,IRAK4,IRAK4,4.5,1,1.161,0.913,0
2194,UBE2V2.18165.181,18165-181,3,SL008564,Ubiquitin-conjugating enzyme E2 variant 2,UB2V2,Q15819,7336,UBE2V2,Human,RFU,Protein,20,UBE2V2,UBE2V2,3,1,0.771,0.919,0
2195,RHOB.18166.4,18166-4,3,SL007317,Rho-related GTP-binding protein RhoB,RHOB,P62745,388,RHOB,Human,RFU,Protein,20,RHOB,RHOB,3.5,1,0.844,0.905,0
2196,PYCR1.18170.46,18170-46,3,SL014772,"Pyrroline-5-carboxylate reductase 1, mitochondrial",P5CR1,P32322,5831,PYCR1,Human,RFU,Protein,20,PYCR1,PYCR1,2.5,1,0.843,0.969,0
2197,CXCL11.18171.25,18171-25,3,SL003326,C-X-C motif chemokine 11,I-TAC,O14625,6373,CXCL11,Human,RFU,Protein,20,CXCL11,CXCL11.1,3,1,,,0
2198,ASF1A.18172.71,18172-71,3,SL021360,Histone chaperone ASF1A,ASF1A,Q9Y294,25842,ASF1A,Human,RFU,Protein,20,ASF1A,ASF1A,2.5,1,0.879,0.821,0
2199,AKR7A3.18173.11,18173-11,3,SL021347,Aflatoxin B1 aldehyde reductase member 3,ARK73,O95154,22977,AKR7A3,Human,RFU,Protein,20,AKR7A3,AKR7A3,4,1,0.804,0.976,0
2200,PDCD6IP.18174.79,18174-79,3,SL008888,Programmed cell death 6-interacting protein,PDC6I,Q8WUM4,10015,PDCD6IP,Human,RFU,Protein,0.5,PDCD6IP,PDCD6IP,2.5,1,0.818,0.91,0
2201,VAT1.18175.65,18175-65,3,SL008286,Synaptic vesicle membrane protein VAT-1 homolog,VAT1,Q99536,10493,VAT1,Human,RFU,Protein,0.5,VAT1,VAT1,3,1,0.922,0.965,0
2202,NAE1.18177.49,18177-49,3,SL007410,NEDD8-activating enzyme E1 regulatory subunit,ULA1,Q13564,8883,NAE1,Human,RFU,Protein,20,NAE1,NAE1,4,1,1.018,0.741,0
2203,SARS1.18178.13,18178-13,3,SL011197,"Serine--tRNA ligase, cytoplasmic",SYSC,P49591,6301,SARS1,Human,RFU,Protein,0.5,SARS1,SARS1,2.5,1,0.754,0.676,0
2204,SMS.18179.56,18179-56,3,SL011200,Spermine synthase,SPSY,P52788,6611,SMS,Human,RFU,Protein,20,SMS,SMS,3,1,0.933,0.783,0
2205,RTN4IP1.18180.58,18180-58,3,SL020948,"Reticulon-4-interacting protein 1, mitochondrial",RT4I1,Q8WWV3,84816,RTN4IP1,Human,RFU,Protein,20,RTN4IP1,RTN4IP1,5,1,0.869,0.897,0
2206,TSSC4.18181.2,18181-2,3,SL021024,Protein TSSC4,TSSC4,Q9Y5U2,10078,TSSC4,Human,RFU,Protein,20,TSSC4,TSSC4,5.5,1,0.858,0.89,0
2207,PCK1.18182.24,18182-24,3,SL014784,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",PCKGC,P35558,5105,PCK1,Human,RFU,Protein,20,PCK1,PCK1,11.5,1,1.03,0.563,0
2208,LDLRAP1.18183.3,18183-3,3,SL020981,Low density lipoprotein receptor adapter protein 1,ARH,Q5SW96,26119,LDLRAP1,Human,RFU,Protein,20,LDLRAP1,LDLRAP1,8.5,1,0.699,0.921,0
2209,GMPS.18184.28,18184-28,3,SL007258,GMP synthase [glutamine-hydrolyzing],GUAA,P49915,8833,GMPS,Human,RFU,Protein,20,GMPS,GMPS,23,0,0.653,0.879,0
2210,ALDOB.18185.118,18185-118,3,SL008853,Fructose-bisphosphate aldolase B,ALDOB,P05062,229,ALDOB,Human,RFU,Protein,0.5,ALDOB,ALDOB,3,1,0.778,0.986,0
2211,TARS1.18186.15,18186-15,3,SL013024,"Threonine--tRNA ligase, cytoplasmic",SYTC,P26639,6897,TARS1,Human,RFU,Protein,20,TARS1,TARS1,7.5,1,1.719,0.903,0
2212,ASPA.18187.16,18187-16,3,SL020921,Aspartoacylase,ACY2,P45381,443,ASPA,Human,RFU,Protein,20,ASPA,ASPA,4.5,1,1.126,0.847,0
2213,GATM.18188.12,18188-12,3,SL008715,"Glycine amidinotransferase, mitochondrial",GATM,P50440,2628,GATM,Human,RFU,Protein,20,GATM,GATM,7.5,1,1.04,0.91,0
2214,VPS25.18189.12,18189-12,3,SL008712,Vacuolar protein-sorting-associated protein 25,VPS25,Q9BRG1,84313,VPS25,Human,RFU,Protein,20,VPS25,VPS25,18.5,0,0.933,0.881,0
2215,CARD18.18190.15,18190-15,3,SL007302,Caspase recruitment domain-containing protein 18,ICBR,P57730,59082,CARD18,Human,RFU,Protein,20,CARD18,CARD18,6.5,1,0.885,0.862,0
2216,RANBP1.18191.23,18191-23,3,SL013039,Ran-specific GTPase-activating protein,RANG,P43487,5902,RANBP1,Human,RFU,Protein,20,RANBP1,RANBP1,4,1,0.893,0.915,0
2217,MAGEA5.18192.69,18192-69,3,SL011948,Melanoma-associated antigen 5,MAGE-5,P43359,100533997,MAGEA5,Human,RFU,Protein,20,MAGEA5,MAGEA5,23,0,0.967,0.535,0
2218,MORF4L1.18193.165,18193-165,3,SL015541,Mortality factor 4-like protein 1,MO4L1,Q9UBU8,10933,MORF4L1,Human,RFU,Protein,20,MORF4L1,MORF4L1,3.5,1,1,0.821,0
2219,FABP9.18194.18,18194-18,3,SL020932,Fatty acid-binding protein 9,FABP9,Q0Z7S8,646480,FABP9,Human,RFU,Protein,20,FABP9,FABP9,12.5,1,0.95,0.696,0
2220,LTO1.18195.3,18195-3,3,SL021015,Oral cancer-overexpressed protein 1,ORAV1,Q8WV07,220064,LTO1,Human,RFU,Protein,20,LTO1,LTO1,32,0,0.86,0.54,0
2221,AFM.18196.8,18196-8,3,SL004742,Afamin,Afamin,P43652,173,AFM,Human,RFU,Protein,0.005,AFM,AFM.1,5,1,,,0
2222,CKMT2.18197.97,18197-97,3,SL008050,"Creatine kinase S-type, mitochondrial",KCRS,P17540,1160,CKMT2,Human,RFU,Protein,20,CKMT2,CKMT2,3.5,1,1.046,0.912,0
2223,HBQ1.18198.51,18198-51,3,SL018342,Hemoglobin subunit theta-1,HBAT,P09105,3049,HBQ1,Human,RFU,Protein,20,HBQ1,HBQ1.1,4,1,0.98,0.863,0
2224,CD37.18202.22,18202-22,3,SL014706,Leukocyte antigen CD37,CD37,P11049,951,CD37,Human,RFU,Protein,20,CD37,CD37,5,1,0.864,0.835,0
2225,CRYGC.18203.9,18203-9,3,SL020916,Gamma-crystallin C,CRGC,P07315,1420,CRYGC,Human,RFU,Protein,20,CRYGC,CRYGC,6,1,,,0
