,Somamer,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism_x,Units,Type,Dilution,Symbol,Symbol_unique,EstimatedCV,EstimatedCV_low,PlasmaScaleFactor_v4_to_v4.1,PlasmaLinsCCC,PlasmaLinsCCC_low
4017,FAM110A.23783.22,23783-22,3,SL023049,Protein FAM110A,F110A,Q9BQ89,83541,FAM110A,Human,RFU,Protein,20,FAM110A,FAM110A.2,13.5,0,,,0
4018,C5.2381.52,2381-52,4,SL000319,Complement C5,C5,P01031,727,C5,Human,RFU,Protein,0.005,C5,C5.1,3.5,1,1.202,0.838,0
4019,GOT2.23903.3,23903-3,3,SL000281,"Aspartate aminotransferase, mitochondrial",GOT2,P00505,2806,GOT2,Human,RFU,Protein,20,GOT2,GOT2.2,5.5,1,,,0
4020,RAB7A.23915.18,23915-18,3,SL004603,Ras-related protein Rab-7,Rab-7,P51149,7879,RAB7A,Human,RFU,Protein,20,RAB7A,RAB7A,7.5,1,,,0
4021,PPM1F.23923.26,23923-26,3,SL016432,Protein phosphatase 1F,PPM1F,P49593,9647,PPM1F,Human,RFU,Protein,0.5,PPM1F,PPM1F,6,1,,,0
4022,PRRT2.23929.159,23929-159,3,SL022187,Proline-rich transmembrane protein 2,PRRT2,Q7Z6L0,112476,PRRT2,Human,RFU,Protein,20,PRRT2,PRRT2,3,1,,,0
4023,ITGB1.23949.12,23949-12,3,SL000144,CD29,CD29,P05556,3688,ITGB1,Human,RFU,Protein,20,ITGB1,ITGB1,34,0,,,0
4024,PAGR1.23967.8,23967-8,3,SL015186,PAXIP1-associated protein 1,PA1,Q9BTK6,79447,PAGR1,Human,RFU,Protein,20,PAGR1,PAGR1,5,1,,,0
4025,CPA1.23981.172,23981-172,3,SL009336,Carboxypeptidase A1,CBPA1,P15085,1357,CPA1,Human,RFU,Protein,20,CPA1,CPA1.2,5,1,,,0
4026,VSIG10L.24011.27,24011-27,3,SL018581,V-set and immunoglobulin domain-containing protein 10-like,VS10L,Q86VR7,147645,VSIG10L,Human,RFU,Protein,20,VSIG10L,VSIG10L,4.5,1,,,0
4027,GRM4.24013.6,24013-6,3,SL010865,Metabotropic glutamate receptor 4,GRM4,Q14833,2914,GRM4,Human,RFU,Protein,20,GRM4,GRM4,3.5,1,,,0
4028,PROCR.24023.35,24023-35,3,SL003500,soluble Endothelial protein C receptor,sEPCR,Q9UNN8,10544,PROCR,Human,RFU,Protein,0.5,PROCR,PROCR,4,1,,,0
4029,IFNE.24027.32,24027-32,3,SL007516,Interferon epsilon-1,IFNE1,Q86WN2,338376,IFNE,Human,RFU,Protein,20,IFNE,IFNE,3.5,1,,,0
4030,GSK3B.24050.26,24050-26,3,SL003724,Glycogen synthase kinase-3 beta,GSK-3 beta,P49841,2932,GSK3B,Human,RFU,Protein,20,GSK3B,GSK3B.1,4.5,1,,,0
4031,CSTF1.24055.44,24055-44,3,SL014904,Cleavage stimulation factor 50 kDa subunit,CSTF1,Q05048,1477,CSTF1,Human,RFU,Protein,20,CSTF1,CSTF1,20,0,,,0
4032,EEF1G.24111.10,24111-10,3,SL008069,Elongation factor 1-gamma,EF1G,P26641,1937,EEF1G,Human,RFU,Protein,20,EEF1G,EEF1G,4.5,1,,,0
4033,PTER.24179.48,24179-48,3,SL022886,Phosphotriesterase-related protein,PTER,Q96BW5,9317,PTER,Human,RFU,Protein,20,PTER,PTER,6,1,,,0
4034,APOE.2418.55,2418-55,9,SL000276,Apolipoprotein E,Apo E,P02649,348,APOE,Human,RFU,Protein,0.005,APOE,APOE.1,12.5,1,1.434,0.65,0
4035,PAGE4.24201.86,24201-86,3,SL007026,G antigen family C member 1,GAGC1,O60829,9506,PAGE4,Human,RFU,Protein,20,PAGE4,PAGE4,4,1,,,0
4036,BDNF.2421.7,2421-7,3,SL003951,Brain-derived neurotrophic factor,BDNF,P23560,627,BDNF,Human,RFU,Protein,20,BDNF,BDNF.2,4.5,1,1.023,0.864,0
4037,HMGCL.24211.25,24211-25,3,SL016420,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",HMGCL,P35914,3155,HMGCL,Human,RFU,Protein,20,HMGCL,HMGCL,8,1,,,0
4038,PRRX1.24215.8,24215-8,3,SL008460,Paired mesoderm homeobox protein 1,PRRX1,P54821,5396,PRRX1,Human,RFU,Protein,20,PRRX1,PRRX1,5,1,,,0
4039,AAMDC.24216.30,24216-30,3,SL022758,Mth938 domain-containing protein,AAMDC,Q9H7C9,28971,AAMDC,Human,RFU,Protein,20,AAMDC,AAMDC,4.5,1,,,0
4040,S100A8.24217.2,24217-2,3,SL004476,Calgranulin A,Calgranulin A,P05109,6279,S100A8,Human,RFU,Protein,20,S100A8,S100A8.1,4,1,,,0
4041,PPARG.24221.3,24221-3,3,SL004261,Peroxisome proliferator activated receptor gamma,PPAR gamma,P37231,5468,PPARG,Human,RFU,Protein,20,PPARG,PPARG,10.5,1,,,0
4042,NELFA.24222.10,24222-10,3,SL023816,Negative elongation factor A,NELFA,Q9H3P2,7469,NELFA,Human,RFU,Protein,20,NELFA,NELFA,3.5,1,,,0
4043,GSTT2.24223.5,24223-5,3,SL023835,Glutathione S-transferase theta-2,GST2,P0CG29,2953,GSTT2,Human,RFU,Protein,20,GSTT2,GSTT2,5.5,1,,,0
4044,FSCN1.24226.30,24226-30,3,SL004994,Fascin,Fascin,Q16658,6624,FSCN1,Human,RFU,Protein,20,FSCN1,FSCN1,5.5,1,,,0
4045,EHD1.24235.2,24235-2,3,SL008306,EH domain-containing protein 1,EHD1,Q9H4M9,10938,EHD1,Human,RFU,Protein,0.5,EHD1,EHD1,13,1,,,0
4046,VAT1L.24236.46,24236-46,3,SL023482,Synaptic vesicle membrane protein VAT-1 homolog-like,VAT1L,Q9HCJ6,57687,VAT1L,Human,RFU,Protein,20,VAT1L,VAT1L,3,1,,,0
4047,CACNB3.24237.115,24237-115,3,SL023232,Voltage-dependent L-type calcium channel subunit beta-3,CACB3,P54284,784,CACNB3,Human,RFU,Protein,20,CACNB3,CACNB3,4.5,1,,,0
4048,RILP.24244.81,24244-81,3,SL023449,Rab-interacting lysosomal protein,RILP,Q96NA2,83547,RILP,Human,RFU,Protein,20,RILP,RILP,5,1,,,0
4049,KLC3.24245.2,24245-2,3,SL023238,Kinesin light chain 3,KLC3,Q6P597,147700,KLC3,Human,RFU,Protein,20,KLC3,KLC3,6.5,1,,,0
4050,C15orf40.24247.13,24247-13,3,SL023436,UPF0235 protein C15orf40,CO040,Q8WUR7,123207,C15orf40,Human,RFU,Protein,20,C15orf40,C15orf40,8,1,,,0
4051,RPP25L.24251.44,24251-44,3,SL023431,Ribonuclease P protein subunit p25-like protein,RP25L,Q8N5L8,138716,RPP25L,Human,RFU,Protein,20,RPP25L,RPP25L,5.5,1,,,0
4052,C12orf65.24252.85,24252-85,3,SL023516,"Probable peptide chain release factor C12orf65, mitochondrial",CL065,Q9H3J6,91574,C12orf65,Human,RFU,Protein,20,C12orf65,C12orf65,4.5,1,,,0
4053,GSPT2.24253.5,24253-5,3,SL023447,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,ERF3B,Q8IYD1,23708,GSPT2,Human,RFU,Protein,20,GSPT2,GSPT2,3,1,,,0
4054,EPN1.24255.38,24255-38,3,SL023198,Epsin-1,EPN1,Q9Y6I3,29924,EPN1,Human,RFU,Protein,20,EPN1,EPN1,5.5,1,,,0
4055,KLHL40.24256.7,24256-7,3,SL023582,Kelch-like protein 40,KLH40,Q2TBA0,131377,KLHL40,Human,RFU,Protein,20,KLHL40,KLHL40,3,1,,,0
4056,FOXP4.24259.24,24259-24,3,SL023497,Forkhead box protein P4,FOXP4,Q8IVH2,116113,FOXP4,Human,RFU,Protein,20,FOXP4,FOXP4,4.5,1,,,0
4057,SETD3.24260.4,24260-4,3,SL023585,Histone-lysine N-methyltransferase setd3,SETD3,Q86TU7,84193,SETD3,Human,RFU,Protein,20,SETD3,SETD3,4,1,,,0
4058,DAPK3.24261.202,24261-202,3,SL014613,Death-associated protein kinase 3,DAPK3,O43293,1613,DAPK3,Human,RFU,Protein,20,DAPK3,DAPK3,3.5,1,,,0
4059,OCLN.24263.6,24263-6,3,SL023157,Occludin,OCLN,Q16625,100506658,OCLN,Human,RFU,Protein,20,OCLN,OCLN,4.5,1,,,0
4060,MPP2.24265.6,24265-6,3,SL023231,MAGUK p55 subfamily member 2,MPP2,Q14168,4355,MPP2,Human,RFU,Protein,20,MPP2,MPP2,3.5,1,,,0
4061,MEF2D.24266.2,24266-2,3,SL014956,Myocyte-specific enhancer factor 2D,MEF2D,Q14814,4209,MEF2D,Human,RFU,Protein,20,MEF2D,MEF2D,2.5,1,,,0
4062,PWWP2B.24267.24,24267-24,3,SL023528,PWWP domain-containing protein 2B,PWP2B,Q6NUJ5,170394,PWWP2B,Human,RFU,Protein,20,PWWP2B,PWWP2B,5.5,1,,,0
4063,GAB1.24268.21,24268-21,3,SL023181,GRB2-associated-binding protein 1,GAB1,Q13480,2549,GAB1,Human,RFU,Protein,20,GAB1,GAB1,4,1,,,0
4064,GMPPA.24271.9,24271-9,3,SL023568,Mannose-1-phosphate guanyltransferase alpha,GMPPA,Q96IJ6,29926,GMPPA,Human,RFU,Protein,20,GMPPA,GMPPA,5.5,1,,,0
4065,NME8.24273.43,24273-43,3,SL019757,Thioredoxin domain-containing protein 3,TXND3,Q8N427,51314,NME8,Human,RFU,Protein,20,NME8,NME8,3.5,1,,,0
4066,TTC25.24276.171,24276-171,3,SL023524,Tetratricopeptide repeat protein 25,TTC25,Q96NG3,83538,TTC25,Human,RFU,Protein,20,TTC25,TTC25,4.5,1,,,0
4067,CPNE7.24277.22,24277-22,3,SL023137,Copine-7,CPNE7,Q9UBL6,27132,CPNE7,Human,RFU,Protein,20,CPNE7,CPNE7,6,1,,,0
4068,USP3.24278.4,24278-4,3,SL023138,Ubiquitin carboxyl-terminal hydrolase 3,UBP3,Q9Y6I4,9960,USP3,Human,RFU,Protein,20,USP3,USP3,4.5,1,,,0
4069,UTP6.24279.30,24279-30,3,SL023229,U3 small nucleolar RNA-associated protein 6 homolog,UTP6,Q9NYH9,55813,UTP6,Human,RFU,Protein,20,UTP6,UTP6,5,1,,,0
4070,MEIG1.24286.48,24286-48,3,SL023654,Meiosis expressed gene 1 protein homolog,MEIG1,Q5JSS6,644890,MEIG1,Human,RFU,Protein,20,MEIG1,MEIG1,6,1,,,0
4071,LSMEM1.24289.1,24289-1,3,SL017974,Coiled-coil domain-containing transmembrane protein C7orf53,CG053,Q8N8F7,286006,LSMEM1,Human,RFU,Protein,20,LSMEM1,LSMEM1,4,1,,,0
4072,C8A.C8B.C8G.2429.27,2429-27,4,SL000324,Complement component C8,C8,P07357|P07358|P07360,731|732|733,C8A|C8B|C8G,Human,RFU,Protein,20,C8A|C8B|C8G,C8A|C8B|C8G,16.5,0,0.838,0.617,0
4073,C20orf202.24290.5,24290-5,3,SL023736,Uncharacterized protein C20orf202,CT202,A1L168,400831,C20orf202,Human,RFU,Protein,20,C20orf202,C20orf202,3,1,,,0
4074,SCP2.24293.39,24293-39,3,SL025946,Nonspecific lipid-transfer protein:isoform 6,NLTP:isoform 6,P22307,6342,SCP2,Human,RFU,Protein,20,SCP2,SCP2.1,7,1,,,0
4075,CHTF8.24294.13,24294-13,3,SL023706,Chromosome transmission fidelity protein 8 homolog,CTF8,P0CG13,54921,CHTF8,Human,RFU,Protein,20,CHTF8,CHTF8,4.5,1,,,0
4076,CEACAM16.24299.1,24299-1,3,SL023735,Carcinoembryonic antigen-related cell adhesion molecule 16,CEA16,Q2WEN9,388551,CEACAM16,Human,RFU,Protein,20,CEACAM16,CEACAM16,6,1,,,0
4077,CRACR2A.24304.3,24304-3,3,SL006711,EF-hand calcium-binding domain-containing protein 4B,EFC4B,Q9BSW2,84766,CRACR2A,Human,RFU,Protein,20,CRACR2A,CRACR2A,2,1,,,0
4078,KDM8.24307.22,24307-22,3,SL023228,Lysine-specific demethylase 8,KDM8,Q8N371,79831,KDM8,Human,RFU,Protein,20,KDM8,KDM8,8,1,,,0
4079,SYTL2.24309.14,24309-14,3,SL006848,Synaptotagmin-like protein 2,synaptotagmin-like 2,Q9HCH5,54843,SYTL2,Human,RFU,Protein,20,SYTL2,SYTL2,4.5,1,,,0
4080,CTSG.2431.17,2431-17,3,SL000345,Cathepsin G,Cathepsin G,P08311,1511,CTSG,Human,RFU,Protein,20,CTSG,CTSG,3.5,1,1.034,0.715,0
4081,TRAPPC13.24314.9,24314-9,3,SL023637,Trafficking protein particle complex subunit 13,TPC13,A5PLN9,80006,TRAPPC13,Human,RFU,Protein,20,TRAPPC13,TRAPPC13,5.5,1,,,0
4082,BMT2.24316.10,24316-10,3,SL023672,Probable methyltransferase BMT2 homolog,BMT2,Q1RMZ1,154743,BMT2,Human,RFU,Protein,20,BMT2,BMT2,5,1,,,0
4083,FGD2.24318.13,24318-13,3,SL023428,"FYVE, RhoGEF and PH domain-containing protein 2",FGD2,Q7Z6J4,221472,FGD2,Human,RFU,Protein,20,FGD2,FGD2,7,1,,,0
4084,CRPPA.24319.19,24319-19,3,SL023745,D-ribitol-5-phosphate cytidylyltransferase,ISPD,A4D126,729920,CRPPA,Human,RFU,Protein,20,CRPPA,CRPPA,4,1,,,0
4085,TRIM72.24320.3,24320-3,3,SL019135,Tripartite motif-containing protein 72,TRI72,Q6ZMU5,493829,TRIM72,Human,RFU,Protein,20,TRIM72,TRIM72,3.5,1,,,0
4086,NARF.24321.67,24321-67,3,SL023698,Nuclear prelamin A recognition factor,NARF,Q9UHQ1,26502,NARF,Human,RFU,Protein,20,NARF,NARF,3,1,,,0
4087,GTF2E1.24322.1,24322-1,3,SL023645,General transcription factor IIE subunit 1,T2EA,P29083,2960,GTF2E1,Human,RFU,Protein,20,GTF2E1,GTF2E1,3.5,1,,,0
4088,BROX.24323.43,24323-43,3,SL023691,BRO1 domain-containing protein BROX,BROX,Q5VW32,148362,BROX,Human,RFU,Protein,20,BROX,BROX,3.5,1,,,0
4089,CXCL16.2436.49,2436-49,4,SL004016,C-X-C motif chemokine 16,"CXCL16, soluble",Q9H2A7,58191,CXCL16,Human,RFU,Protein,0.5,CXCL16,CXCL16,4,1,0.765,0.837,0
4090,KIF3C.24407.31,24407-31,3,SL023609,Kinesin-like protein KIF3C,KIF3C,O14782,3797,KIF3C,Human,RFU,Protein,20,KIF3C,KIF3C,8,1,,,0
4091,MBNL1.24408.30,24408-30,3,SL023142,Muscleblind-like protein 1,MBNL1,Q9NR56,4154,MBNL1,Human,RFU,Protein,20,MBNL1,MBNL1,6,1,,,0
4092,RDH13.24409.2,24409-2,3,SL012706,Retinol dehydrogenase 13,RDH13,Q8NBN7,112724,RDH13,Human,RFU,Protein,20,RDH13,RDH13,3.5,1,,,0
4093,FGF10.2441.2,2441-2,4,SL004333,Fibroblast growth factor 10,FGF-10,O15520,2255,FGF10,Human,RFU,Protein,20,FGF10,FGF10,3,1,0.946,0.768,0
4094,LRSAM1.24411.144,24411-144,3,SL020078,E3 ubiquitin-protein ligase LRSAM1,LRSM1,Q6UWE0,90678,LRSAM1,Human,RFU,Protein,20,LRSAM1,LRSAM1,6,1,,,0
4095,SYCE1L.24412.1,24412-1,3,SL023740,Synaptonemal complex central element protein 1-like,SYC1L,A8MT33,100130958,SYCE1L,Human,RFU,Protein,20,SYCE1L,SYCE1L,5.5,1,,,0
4096,NUDT7.24413.96,24413-96,3,SL023739,Peroxisomal coenzyme A diphosphatase NUDT7,NUDT7,P0C024,283927,NUDT7,Human,RFU,Protein,20,NUDT7,NUDT7,3,1,,,0
4097,PYGB.24414.3,24414-3,3,SL004729,"Glycogen phosphorylase, brain form",Glycogen phosphorylase,P11216,5834,PYGB,Human,RFU,Protein,20,PYGB,PYGB,7.5,1,,,0
4098,SND1.24416.20,24416-20,3,SL008236,Staphylococcal nuclease domain-containing protein 1,SND1,Q7KZF4,27044,SND1,Human,RFU,Protein,20,SND1,SND1,2.5,1,,,0
4099,RABEP1.24417.22,24417-22,3,SL014963,Rab GTPase-binding effector protein 1,RABE1,Q15276,9135,RABEP1,Human,RFU,Protein,20,RABEP1,RABEP1,5,1,,,0
4100,HMX3.24418.14,24418-14,3,SL023743,Homeobox protein HMX3,HMX3,A6NHT5,340784,HMX3,Human,RFU,Protein,20,HMX3,HMX3,4.5,1,,,0
4101,MOCOS.24419.3,24419-3,3,SL023406,Molybdenum cofactor sulfurase,MOCOS,Q96EN8,55034,MOCOS,Human,RFU,Protein,20,MOCOS,MOCOS,3,1,,,0
4102,DOHH.24420.57,24420-57,3,SL023763,Deoxyhypusine hydroxylase,DOHH,Q9BU89,83475,DOHH,Human,RFU,Protein,20,DOHH,DOHH,3,1,,,0
4103,SPATA24.24422.36,24422-36,3,SL023761,Spermatogenesis-associated protein 24,SPA24,Q86W54,202051,SPATA24,Human,RFU,Protein,0.5,SPATA24,SPATA24,5,1,,,0
4104,PP13G.24423.9,24423-9,3,SL023765,Protein phosphatase 1 regulatory subunit 3G,PP13G,B7ZBB8,648791,None,Human,RFU,Protein,20,PP13G,PP13G,5.5,1,,,0
4105,TBC1D25.24424.25,24424-25,3,SL023684,TBC1 domain family member 25,TBC25,Q3MII6,4943,TBC1D25,Human,RFU,Protein,20,TBC1D25,TBC1D25,2.5,1,,,0
4106,MARS1.24425.8,24425-8,3,SL012446,"Methionyl-tRNA synthetase, cytoplasmic",SYMC,P56192,4141,MARS1,Human,RFU,Protein,20,MARS1,MARS1,6.5,1,,,0
4107,CTNNA1.24426.15,24426-15,3,SL007202,Catenin alpha-1,CTNA1,P35221,1495,CTNNA1,Human,RFU,Protein,20,CTNNA1,CTNNA1.1,6,1,,,0
4108,CTNNA1.24426.191,24426-191,3,SL007202,Catenin alpha-1,CTNA1,P35221,1495,CTNNA1,Human,RFU,Protein,20,CTNNA1,CTNNA1.2,3,1,,,0
4109,INPP4B.24427.33,24427-33,3,SL014599,"Type II inositol-3,4-bisphosphate 4-phosphatase",INP4B,O15327,8821,INPP4B,Human,RFU,Protein,20,INPP4B,INPP4B,5.5,1,,,0
4110,GDPD1.24428.76,24428-76,3,SL023710,Lysophospholipase D GDPD1,GDPD1,Q8N9F7,284161,GDPD1,Human,RFU,Protein,20,GDPD1,GDPD1,5,1,,,0
4111,FGF8.2443.10,2443-10,4,SL004342,Fibroblast growth factor 8 isoform B,FGF-8B,P55075,2253,FGF8,Human,RFU,Protein,20,FGF8,FGF8.4,10,1,0.84,0.718,0
4112,ZNF580.24430.11,24430-11,3,SL023773,Zinc finger protein 580,ZN580,Q9UK33,51157,ZNF580,Human,RFU,Protein,20,ZNF580,ZNF580,3,1,,,0
4113,CMTR1.24431.32,24431-32,3,SL023435,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,CMTR1,Q8N1G2,23070,CMTR1,Human,RFU,Protein,20,CMTR1,CMTR1,3,1,,,0
4114,GRIPAP1.24432.3,24432-3,3,SL023546,GRIP1-associated protein 1,GRAP1,Q4V328,56850,GRIPAP1,Human,RFU,Protein,20,GRIPAP1,GRIPAP1,5,1,,,0
4115,PHYHIP.24434.16,24434-16,3,SL023377,Phytanoyl-CoA hydroxylase-interacting protein,PHYIP,Q92561,9796,PHYHIP,Human,RFU,Protein,20,PHYHIP,PHYHIP,3.5,1,,,0
4116,DNM1.24435.1,24435-1,3,SL004793,Dynamin-1,Dynamin,Q05193,1759,DNM1,Human,RFU,Protein,20,DNM1,DNM1,6,1,,,0
4117,DLGAP4.24436.23,24436-23,3,SL015355,Disks large-associated protein 4,DLGP4,Q9Y2H0,22839,DLGAP4,Human,RFU,Protein,20,DLGAP4,DLGAP4,6.5,1,,,0
4118,YJEFN3.24437.6,24437-6,3,SL023783,YjeF N-terminal domain-containing protein 3,YJEN3,A6XGL0,374887,YJEFN3,Human,RFU,Protein,20,YJEFN3,YJEFN3,4,1,,,0
4119,KCTD3.24440.11,24440-11,3,SL023602,BTB/POZ domain-containing protein KCTD3,KCTD3,Q9Y597,51133,KCTD3,Human,RFU,Protein,20,KCTD3,KCTD3,5.5,1,,,0
4120,NCBP1.24441.7,24441-7,3,SL014910,Nuclear cap-binding protein subunit 1,NCBP1,Q09161,4686,NCBP1,Human,RFU,Protein,0.5,NCBP1,NCBP1,3,1,,,0
4121,MORF4L2.24443.8,24443-8,3,SL021011,Mortality factor 4-like protein 2,MO4L2,Q15014,9643,MORF4L2,Human,RFU,Protein,0.5,MORF4L2,MORF4L2,2.5,1,,,0
4122,TTC27.24444.10,24444-10,3,SL011247,Tetratricopeptide repeat protein 27,TTC27,Q6P3X3,55622,TTC27,Human,RFU,Protein,20,TTC27,TTC27,5,1,,,0
4123,AFAP1L2.24445.38,24445-38,3,SL019867,Actin filament-associated protein 1-like 2,AF1L2,Q8N4X5,84632,AFAP1L2,Human,RFU,Protein,20,AFAP1L2,AFAP1L2,4.5,1,,,0
4124,MBNL2.24446.65,24446-65,3,SL023663,Muscleblind-like protein 2,MBNL2,Q5VZF2,10150,MBNL2,Human,RFU,Protein,20,MBNL2,MBNL2,9.5,1,,,0
4125,FAM221A.24447.26,24447-26,3,SL023741,Protein FAM221A,F221A,A4D161,340277,FAM221A,Human,RFU,Protein,20,FAM221A,FAM221A,4.5,1,,,0
4126,CRYGA.24449.11,24449-11,3,SL021762,Gamma-crystallin A,CRGA,P11844,1418,CRYGA,Human,RFU,Protein,20,CRYGA,CRYGA,4,1,,,0
4127,C19orf54.24450.96,24450-96,3,SL023721,UPF0692 protein C19orf54,CS054,Q5BKX5,284325,C19orf54,Human,RFU,Protein,20,C19orf54,C19orf54,2,1,,,0
4128,HCCS.24453.75,24453-75,3,SL023742,Cytochrome c-type heme lyase,CCHL,P53701,3052,HCCS,Human,RFU,Protein,20,HCCS,HCCS,4.5,1,,,0
4129,MTHFD2L.24454.27,24454-27,3,SL021776,Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2,MTD2L,Q9H903,441024,MTHFD2L,Human,RFU,Protein,20,MTHFD2L,MTHFD2L,5,1,,,0
4130,ASAP3.24455.2,24455-2,3,SL023236,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3",ASAP3,Q8TDY4,55616,ASAP3,Human,RFU,Protein,20,ASAP3,ASAP3,2.5,1,,,0
4131,VSX1.24456.3,24456-3,3,SL023722,Visual system homeobox 1,VSX1,Q9NZR4,30813,VSX1,Human,RFU,Protein,20,VSX1,VSX1,4.5,1,,,0
4132,USF2.24457.12,24457-12,3,SL002032,USF2,USF2,Q15853,7392,USF2,Human,RFU,Protein,20,USF2,USF2,8,1,,,0
4133,COPB2.24459.15,24459-15,3,SL008869,Coatomer subunit beta',COPB2,P35606,9276,COPB2,Human,RFU,Protein,20,COPB2,COPB2,7,1,,,0
4134,CNGB1.24462.4,24462-4,3,SL023764,Cyclic nucleotide-gated cation channel beta-1,CNGB1,Q14028,1258,CNGB1,Human,RFU,Protein,20,CNGB1,CNGB1,4,1,,,0
4135,NDRG2.24463.1,24463-1,3,SL020970,Protein NDRG2,NDRG2,Q9UN36,57447,NDRG2,Human,RFU,Protein,20,NDRG2,NDRG2,2.5,1,,,0
4136,SSX4.24465.28,24465-28,3,SL005069,"synovial sarcoma, X breakpoint 4",SSX4,O60224,548313,SSX4,Human,RFU,Protein,20,SSX4,SSX4,3,1,,,0
4137,ADD2.24468.36,24468-36,3,SL010833,Beta-adducin,ADDB,P35612,119,ADD2,Human,RFU,Protein,20,ADD2,ADD2,2.5,1,,,0
4138,LPIN1.24469.10,24469-10,3,SL023199,Phosphatidate phosphatase LPIN1,LPIN1,Q14693,23175,LPIN1,Human,RFU,Protein,20,LPIN1,LPIN1,4.5,1,,,0
4139,PLA2G2E.2447.7,2447-7,4,SL004066,Group IIE secretory phospholipase A2,GIIE,Q9NZK7,30814,PLA2G2E,Human,RFU,Protein,20,PLA2G2E,PLA2G2E.2,2.5,1,1.128,0.91,0
4140,PCBP3.24470.20,24470-20,3,SL018915,Poly(rC)-binding protein 3,PCBP3,P57721,54039,PCBP3,Human,RFU,Protein,20,PCBP3,PCBP3,7,1,,,0
4141,SETBP1.24471.2,24471-2,3,SL011324,SET-binding protein,SETBP,Q9Y6X0,26040,SETBP1,Human,RFU,Protein,20,SETBP1,SETBP1,3.5,1,,,0
4142,SHARPIN.24472.28,24472-28,3,SL023694,Sharpin,SHRPN,Q9H0F6,81858,SHARPIN,Human,RFU,Protein,20,SHARPIN,SHARPIN,6,1,,,0
4143,CT45A3.24473.11,24473-11,3,SL023572,Cancer/testis antigen family 45 member A3,CT453,Q8NHU0,441519,CT45A3,Human,RFU,Protein,20,CT45A3,CT45A3,3,1,,,0
4144,TTC9.24474.12,24474-12,3,SL023667,Tetratricopeptide repeat protein 9A,TTC9A,Q92623,23508,TTC9,Human,RFU,Protein,20,TTC9,TTC9,4.5,1,,,0
4145,SNX12.24475.45,24475-45,3,SL013297,Sorting nexin-12,SNX12,Q9UMY4,29934,SNX12,Human,RFU,Protein,20,SNX12,SNX12,7,1,,,0
4146,ASCC2.24476.18,24476-18,3,SL006375,Activating signal cointegrator 1 complex subunit 2,ASC-1 complex subunit p100,Q9H1I8,84164,ASCC2,Human,RFU,Protein,20,ASCC2,ASCC2,4.5,1,,,0
4147,TMEM225B.24479.25,24479-25,3,SL023784,Transmembrane protein 225B,T225B,P0DP42,100289187,TMEM225B,Human,RFU,Protein,20,TMEM225B,TMEM225B,3.5,1,,,0
4148,BCAP31.24485.32,24485-32,3,SL007264,B-cell receptor-associated protein 31,BAP31,P51572,10134,BCAP31,Human,RFU,Protein,20,BCAP31,BCAP31,8,1,,,0
4149,BCL11A.24486.1,24486-1,3,SL005450,B-cell lymphoma/leukemia 11A,B-cell CLL 11A,Q9H165,53335,BCL11A,Human,RFU,Protein,20,BCL11A,BCL11A,2.5,1,,,0
4150,BLOC1S3.24487.95,24487-95,3,SL023683,Biogenesis of lysosome-related organelles complex 1 subunit 3,BL1S3,Q6QNY0,388552,BLOC1S3,Human,RFU,Protein,20,BLOC1S3,BLOC1S3,3.5,1,,,0
4151,HID1.24488.8,24488-8,3,SL023453,Protein HID1,HID1,Q8IV36,283987,HID1,Human,RFU,Protein,20,HID1,HID1,6.5,1,,,0
4152,HES3.24489.34,24489-34,3,SL023727,Transcription factor HES-3,HES3,Q5TGS1,390992,HES3,Human,RFU,Protein,20,HES3,HES3,4,1,,,0
4153,PLA2G5.2449.1,2449-1,4,SL004182,Calcium-dependent phospholipase A2,GV,P39877,5322,PLA2G5,Human,RFU,Protein,20,PLA2G5,PLA2G5,5.5,1,1.022,0.532,0
4154,THAP4.24490.16,24490-16,3,SL023768,THAP domain-containing protein 4,THAP4,Q8WY91,51078,THAP4,Human,RFU,Protein,20,THAP4,THAP4,4,1,,,0
4155,MTMR7.24493.10,24493-10,3,SL023699,Myotubularin-related protein 7,MTMR7,Q9Y216,9108,MTMR7,Human,RFU,Protein,20,MTMR7,MTMR7,3.5,1,,,0
4156,KATNAL1.24494.67,24494-67,3,SL023680,Katanin p60 ATPase-containing subunit A-like 1,KATL1,Q9BW62,84056,KATNAL1,Human,RFU,Protein,20,KATNAL1,KATNAL1,3.5,1,,,0
4157,RILPL1.24496.26,24496-26,3,SL023776,RILP-like protein 1,RIPL1,Q5EBL4,353116,RILPL1,Human,RFU,Protein,20,RILPL1,RILPL1,4,1,,,0
4158,TRIML1.24497.8,24497-8,3,SL023631,Probable E3 ubiquitin-protein ligase TRIML1,TRIML,Q8N9V2,339976,TRIML1,Human,RFU,Protein,20,TRIML1,TRIML1,4.5,1,,,0
